dataset,attack,alpha,round,l1_median_mean,l1_mad_mean,l1_thr_reject_mean,l2_thr_distance_mean,n_seeds
cifar-10,alie,0.5,44,133.83983333333333,17.8212,205.12466666666668,129.96,3
cifar-10,alie,0.5,45,133.76916666666668,15.404666666666666,195.38786666666667,131.47,3
cifar-10,alie,0.5,46,134.61533333333333,16.901733333333333,202.2223,125.88666666666666,3
cifar-10,alie,0.5,47,137.89883333333333,17.159433333333336,206.5366,127.99333333333334,3
cifar-10,alie,0.5,48,128.68333333333334,17.214533333333335,197.54136666666668,130.26666666666665,3
cifar-10,alie,0.5,49,135.2088,17.249866666666666,204.2082333333333,122.36333333333333,3
cifar-10,alie,0.5,50,135.12660000000002,19.153666666666666,211.74123333333333,135.65,3
cifar-10,alie,1.0,11,132.7081,12.085866666666666,181.0515,85.37666666666667,3
cifar-10,alie,1.0,12,131.06410000000002,15.868333333333334,194.5375,91.27333333333333,3
cifar-10,alie,1.0,13,131.20773333333332,16.146466666666665,195.7936,89.42333333333333,3
cifar-10,alie,1.0,14,134.26216666666667,14.5773,192.57129999999998,95.74000000000001,3
cifar-10,alie,1.0,15,131.1022,15.626933333333332,193.60983333333334,93.46,3
cifar-10,alie,1.0,16,136.4279,14.329633333333334,193.7464,97.71,3
cifar-10,alie,1.0,17,135.28336666666667,14.655466666666667,193.9052333333333,98.78666666666668,3
cifar-10,alie,1.0,18,134.2687,13.702733333333333,189.0796,93.11,3
cifar-10,alie,1.0,19,132.39533333333335,12.730133333333333,183.3158,100.2,3
cifar-10,alie,1.0,20,130.51916666666668,17.223733333333332,199.41416666666666,98.31333333333333,3
cifar-10,alie,1.0,21,132.71026666666668,13.210566666666667,185.55259999999998,98.74000000000001,3
cifar-10,alie,1.0,22,136.26976666666667,15.345833333333331,197.65313333333333,99.04666666666667,3
cifar-10,alie,1.0,23,134.27996666666664,14.8301,193.6004333333333,99.79666666666667,3
cifar-10,alie,1.0,24,131.7073333333333,15.855266666666665,195.12833333333333,95.58,3
cifar-10,alie,1.0,25,137.07093333333333,13.407233333333332,190.6998,103.33666666666666,3
cifar-10,alie,1.0,26,133.01503333333335,16.863,200.46699999999998,104.13666666666666,3
cifar-10,alie,1.0,27,131.8082,14.012333333333332,187.8575,104.54666666666667,3
cifar-10,alie,1.0,28,135.5571,17.8201,206.83759999999998,103.04,3
cifar-10,alie,1.0,29,132.4313,15.227133333333333,193.33993333333333,103.84333333333332,3
cifar-10,alie,1.0,30,130.86483333333334,13.3907,184.4277,100.54333333333334,3
cifar-10,alie,1.0,31,134.64453333333333,13.895766666666667,190.22753333333333,100.29333333333334,3
cifar-10,alie,1.0,32,136.6059,12.942833333333333,188.37723333333335,104.66333333333334,3
cifar-10,alie,1.0,33,131.80566666666667,14.183766666666665,188.54063333333332,103.08999999999999,3
cifar-10,alie,1.0,34,136.28253333333336,13.575766666666667,190.58563333333333,105.16000000000001,3
cifar-10,alie,1.0,35,133.14013333333332,16.7488,200.1354,99.17333333333333,3
cifar-10,alie,1.0,36,136.34786666666665,14.892666666666665,195.91856666666664,104.95333333333333,3
cifar-10,alie,1.0,37,132.11616666666666,13.594733333333332,186.49503333333334,100.89666666666666,3
cifar-10,alie,1.0,38,132.09936666666667,17.3362,201.44426666666666,100.42999999999999,3
cifar-10,alie,1.0,39,135.41993333333332,12.487366666666667,185.36946666666668,99.60333333333334,3
cifar-10,alie,1.0,40,134.01316666666665,14.591666666666667,192.3799,95.62333333333333,3
cifar-10,alie,1.0,41,135.14046666666667,13.176400000000001,187.84616666666668,103.66666666666667,3
cifar-10,alie,1.0,42,132.364,14.841266666666668,191.72893333333332,98.38333333333333,3
cifar-10,alie,1.0,43,135.6833,16.301199999999998,200.88819999999998,103.04666666666667,3
cifar-10,alie,1.0,44,134.85086666666666,13.6,189.25093333333334,104.53666666666668,3
cifar-10,alie,1.0,45,131.78016666666667,17.700766666666667,202.58326666666667,99.11333333333333,3
cifar-10,alie,1.0,46,135.0709,14.555266666666668,193.292,101.07333333333334,3
cifar-10,alie,1.0,47,130.50653333333332,18.730533333333334,205.42853333333332,96.59666666666668,3
cifar-10,alie,1.0,48,133.45926666666665,17.72113333333333,204.34380000000002,96.27,3
cifar-10,alie,1.0,49,132.7242,15.433066666666667,194.45646666666667,95.18,3
