dataset,attack,alpha,module,n_seeds,DR_mean,DR_std,FPR_mean,FPR_std
fashion-mnist,gaussian_noise,1.0,L1,3,1.0,0.0,0.0,0.0
fashion-mnist,gaussian_noise,1.0,L2,3,1.0,0.0,0.01055709755706753,0.0016088351119466643
fashion-mnist,gaussian_noise,1.0,Final,3,1.0,0.0,0.01055709755706753,0.0016088351119466643
fashion-mnist,label_flip,0.1,L1,3,0.016911752621132713,0.0032413373574872637,0.08224243737568328,0.01083052474401025
fashion-mnist,label_flip,0.1,L2,3,0.3971645165594298,0.06675702016586227,0.11332267559971008,0.012576718720824467
fashion-mnist,label_flip,0.1,Final,3,0.3971645165594298,0.06675702016586227,0.11332267559971008,0.012576718720824467
fashion-mnist,label_flip,0.25,L1,3,0.01584165922739884,0.008472756649388574,0.07616828396179709,0.008495264509292439
fashion-mnist,label_flip,0.25,L2,3,0.14806045640211127,0.011771562600918188,0.077175333307215,0.007719370826545494
fashion-mnist,label_flip,0.25,Final,3,0.14806045640211127,0.011771562600918188,0.077175333307215,0.007719370826545494
fashion-mnist,label_flip,0.5,L1,3,0.003472222222222222,0.006014065304058602,0.0029769297187329977,0.001486986512096987
fashion-mnist,label_flip,0.5,L2,3,0.40479222734845566,0.17858057574589395,0.003472961464764743,0.0022721352822194967
fashion-mnist,label_flip,0.5,Final,3,0.40479222734845566,0.17858057574589395,0.003472961464764743,0.0022721352822194967
fashion-mnist,label_flip,1.0,L1,3,0.07073738321517943,0.0396053596709038,0.0,0.0
fashion-mnist,label_flip,1.0,L2,3,0.8268445176156997,0.03332395891496116,0.0014800551576991444,0.0014749530062972132
fashion-mnist,label_flip,1.0,Final,3,0.8268445176156997,0.03332395891496116,0.0014800551576991444,0.0014749530062972132
fashion-mnist,minmax,0.1,L1,3,0.005923379162996103,0.004284332314736843,0.08204830433772543,0.003953906429253778
fashion-mnist,minmax,0.1,L2,3,0.6563946078976549,0.006029089761632054,0.1922344285677787,0.05128634879308795
fashion-mnist,minmax,0.1,Final,3,0.6563946078976549,0.006029089761632054,0.1922344285677787,0.05128634879308795
fashion-mnist,minmax,0.25,L1,3,0.003579962450930193,0.003584237010208174,0.060005347250301565,0.010353964369489368
fashion-mnist,minmax,0.25,L2,3,0.43427951614970256,0.031651959998289625,0.11907632671474065,0.024186814920469722
